Daerah,Kecamatan,harga,kamar_tidur,luas_bangunan,luas_lahan
Gamping, Sleman,1.349.990.000,3,100 m²,319 m²
Depok, Sleman,650.000.000,2,5 m²,133 m²
Ngaglik, Sleman,2.950.000.000,4,350 m²,500 m²
Gamping, Sleman,1.950.000.000,2,75 m²,144 m²
Condong Catur, Sleman,2.700.000.000,6,213 m²,199 m²
Yogyakarta,,578.000.000,2,55 m²,105 m²
Gamping, Sleman,1.000.000.000,3,95 m²,129 m²
Yogyakarta,,4.730.000.000,5,300 m²,344 m²
Kalasan, Sleman,410.000.000,2,45 m²,118 m²
Ngaglik, Sleman,1.200.000.000,3,120 m²,120 m²
Gamping, Sleman,1.010.000.000,3,166 m²,113 m²
Gamping, Sleman,5.800.000.000,4,227 m²,297 m²
Ngaglik, Sleman,5.500.000.000,6,380 m²,260 m²
Umbulharjo, Yogyakarta,3.900.000.000,6,417 m²,270 m²
Banguntapan, Bantul,2.100.000.000,4,170 m²,130 m²
Ngaglik, Sleman,1.250.000.000,4,160 m²,110 m²
Gamping, Sleman,1.350.000.000,3,90 m²,100 m²
Umbulharjo, Yogyakarta,1.800.000.000,5,200 m²,325 m²
Wonosari, Gunung Kidul,240.000.000,2,42 m²,80 m²
Gamping, Sleman,2.500.000.000,6,200 m²,168 m²
Depok, Sleman,2.500.000.000,4,200 m²,182 m²
Sleman, Sleman,2.300.000.000,5,250 m²,246 m²
Mlati, Sleman,5.500.000.000,5,200 m²,425 m²
Sleman, Sleman,1.135.000.000,3,85 m²,140 m²
Mlati, Sleman,2.300.000.000,7,250 m²,183 m²
Depok, Sleman,1.500.000.000,4,210 m²,105 m²
Kasihan, Bantul,549.000.000,2,45 m²,95 m²
Ngaglik, Sleman,575.000.000,3,110 m²,131 m²
Tegalrejo, Yogyakarta,2.500.000.000,8,225 m²,251 m²
Kalasan, Sleman,285.000.000,3,100 m²,130 m²
Banguntapan, Bantul,2.100.000.000,4,180 m²,132 m²
Banguntapan, Bantul,1.350.000.000,4,300 m²,250 m²
Banguntapan, Bantul,365.000.000,2,45 m²,88 m²
Ngaglik, Sleman,1.750.000.000,8,150 m²,121 m²
Ngaglik, Sleman,599.000.000,2,45 m²,106 m²
Sleman, Sleman,1.250.000.000,4,225 m²,150 m²
Ngaglik, Sleman,3.950.000.000,5,234 m²,200 m²
Ngaglik, Sleman,1.800.000.000,4,120 m²,160 m²
Depok, Sleman,2.200.000.000,5,150 m²,166 m²
Ngaglik, Sleman,7.500.000.000,6,199 m²,1115 m²
Depok, Sleman,5.500.000.000,7,400 m²,517 m²
Caturtunggal, Sleman,1.600.000.000,3,87 m²,109 m²
Caturtunggal, Sleman,1.600.000.000,4,100 m²,130 m²
Sleman, Sleman,2.700.000.000,5,207 m²,207 m²
Caturtunggal, Sleman,3.750.000.000,19,511 m²,499 m²
Gamping, Sleman,3.950.000.000,6,500 m²,338 m²
Maguwoharjo, Sleman,3.000.000.000,4,150 m²,250 m²
Wirobrajan, Yogyakarta,3.500.000.000,7,450 m²,650 m²
Sedayu, Bantul,365.000.000,2,45 m²,101 m²
Ngaglik, Sleman,800.000.000,7,200 m²,163 m²
Gamping, Sleman,1.199.999.999,3,100 m²,178 m²
Banguntapan, Bantul,440.000.000,2,45 m²,79 m²
Kasihan, Bantul,2.950.000.000,5,220 m²,352 m²
Banguntapan, Bantul,850.000.000,2,50 m²,100 m²
Kasihan, Bantul,600.000.000,2,50 m²,110 m²
Depok, Sleman,975.000.000,5,140 m²,135 m²
Bantul,,317.000.000,2,45 m²,82 m²
Ngemplak, Sleman,3.700.000.000,7,350 m²,699 m²
Bantul,,1.700.000.000,4,108 m²,168 m²
Mlati, Sleman,350.000.000,2,36 m²,51 m²
Godean, Sleman,692.000.000,2,50 m²,104 m²
Pajangan, Bantul,315.000.000,2,45 m²,90 m²
Wirobrajan, Yogyakarta,5.000.000.000,5,460 m²,535 m²
Sleman,,975.000.000,3,130 m²,91 m²
Banguntapan, Bantul,2.600.000.000,5,173 m²,139 m²
Kalasan, Sleman,950.000.000,2,80 m²,122 m²
Sewon, Bantul,510.000.000,2,47 m²,108 m²
Banguntapan, Bantul,430.000.000,2,36 m²,60 m²
Kalasan, Sleman,640.000.000,2,50 m²,97 m²
Prambanan, Sleman,266.000.000,2,36 m²,72 m²
Sleman,,375.000.000,1,45 m²,82 m²
Prambanan, Sleman,650.000.000,3,75 m²,220 m²
Ngemplak, Sleman,578.000.000,2,50 m²,50 m²
Pakem, Sleman,1.750.000.000,4,300 m²,851 m²
Yogyakarta,,600.000.000,3,95 m²,95 m²
Gamping, Sleman,650.000.000,3,120 m²,106 m²
Ngemplak, Sleman,800.000.000,3,85 m²,126 m²
Yogyakarta,,4.100.000.000,4,170 m²,684 m²
Kasihan, Bantul,490.000.000,2,45 m²,80 m²
Ngaglik, Sleman,2.900.000.000,2,110 m²,312 m²
Sleman,,7.000.000.000,4,250 m²,260 m²
Ngaglik, Sleman,2.800.000.000,3,75 m²,144 m²
Sewon, Bantul,2.950.000.000,7,292 m²,261 m²
Yogyakarta,,580.000.000,2,50 m²,80 m²
Kalasan, Sleman,1.500.000.000,5,200 m²,180 m²
Umbulharjo, Yogyakarta,11.000.000.000,7,480 m²,690 m²
Pakem, Sleman,1.700.000.000,1,518 m²,518 m²
Prambanan, Sleman,570.000.000,3,81 m²,200 m²
Ngaglik, Sleman,1.600.000.000,5,185 m²,300 m²
Pleret, Bantul,1.650.000.000,7,350 m²,503 m²
Condong Catur, Sleman,575.000.000,2,60 m²,90 m²
Condong Catur, Sleman,795.000.000,3,60 m²,96 m²
Condong Catur, Sleman,1.500.000.000,4,150 m²,126 m²
Kalasan, Sleman,5.750.000.000,11,900 m²,1325 m²
Berbah, Sleman,325.100.000,2,40 m²,78 m²
Sleman, Sleman,630.000.000,3,70 m²,104 m²
Maguwoharjo, Sleman,1.500.000.000,4,130 m²,142 m²
Prambanan, Sleman,275.000.000,2,40 m²,65 m²
Mlati, Sleman,3.500.000.000,4,250 m²,210 m²
Umbulharjo, Yogyakarta,950.000.000,3,70 m²,104 m²
Bantul, Bantul,590.000.000,3,72 m²,86 m²
Kalasan, Sleman,694.000.000,2,65 m²,101 m²
Kalasan, Sleman,570.000.000,2,55 m²,104 m²
Mlati, Sleman,1.480.000.000,4,150 m²,129 m²
Caturtunggal, Sleman,360.000.000,2,52 m²,60 m²
Playen, Gunung Kidul,350.000.000,2,36 m²,100 m²
Pakem, Sleman,3.500.000.000,5,600 m²,2000 m²
Mlati, Sleman,550.000.000,2,60 m²,120 m²
Ngaglik, Sleman,2.500.000.000,5,230 m²,252 m²
Mlati, Sleman,975.000.000,3,70 m²,131 m²
Ngaglik, Sleman,650.000.000,2,85 m²,113 m²
Ngaglik, Sleman,3.500.000.000,5,269 m²,235 m²
Bantul,,800.000.000,3,90 m²,133 m²
Gamping, Sleman,1.100.000.000,3,95 m²,150 m²
Depok, Sleman,3.500.000.000,5,240 m²,340 m²
Kalasan, Sleman,305.000.000,2,36 m²,63 m²
Ngaglik, Sleman,5.000.000.000,5,660 m²,550 m²
Tegalrejo, Yogyakarta,1.500.000.000,5,180 m²,146 m²
Kasihan, Bantul,435.000.000,2,67 m²,107 m²
Maguwoharjo, Sleman,4.200.000.000,5,210 m²,160 m²
Maguwoharjo, Sleman,750.000.000,3,80 m²,85 m²
Maguwoharjo, Sleman,1.650.000.000,4,120 m²,110 m²
Maguwoharjo, Sleman,2.000.000.000,3,90 m²,125 m²
Mlati, Sleman,4.500.000.000,5,300 m²,952 m²
Mlati, Sleman,820.000.000,3,71 m²,106 m²
Mlati, Sleman,9.000.000.000,3,400 m²,1059 m²
Mlati, Sleman,471.500.000,2,45 m²,100 m²
Godean, Sleman,875.000.000,3,80 m²,125 m²
Mlati, Sleman,799.999.999,3,155 m²,155 m²
Maguwoharjo, Sleman,985.000.000,3,100 m²,140 m²
Caturtunggal, Sleman,4.000.000.000,10,400 m²,466 m²
Sleman,,345.000.000,2,55 m²,118 m²
Kasihan, Bantul,660.000.000,2,60 m²,200 m²
Depok, Sleman,3.100.000.000,3,375 m²,350 m²
Banguntapan, Bantul,1.200.000.000,4,110 m²,120 m²
Kasihan, Bantul,345.000.000,2,36 m²,80 m²
Banguntapan, Bantul,385.000.000,2,40 m²,65 m²
Sedayu, Bantul,365.000.000,2,45 m²,101 m²
Bantul,,315.000.000,2,45 m²,86 m²
Sleman, Sleman,680.000.000,3,75 m²,128 m²
Mlati, Sleman,1.600.000.000,5,200 m²,114 m²
Ngaglik, Sleman,2.250.000.000,3,300 m²,1125 m²
Ngaglik, Sleman,2.000.000.000,3,250 m²,229 m²
Banguntapan, Bantul,690.000.000,3,70 m²,105 m²
Banguntapan, Bantul,471.000.000,2,45 m²,93 m²
Sleman,,825.000.000,3,100 m²,130 m²
Depok, Sleman,3.500.000.000,4,199 m²,318 m²
Maguwoharjo, Sleman,845.000.000,3,70 m²,124 m²
Prambanan, Sleman,480.000.000,2,45 m²,98 m²
Depok, Sleman,2.700.000.000,4,115 m²,140 m²
Gamping, Sleman,2.800.000.000,6,350 m²,225 m²
Banguntapan, Bantul,25.000.000.000,6,1000 m²,2300 m²
Gamping, Sleman,777.000.000,3,68 m²,104 m²
Berbah, Sleman,324.000.000,2,41 m²,78 m²
Umbulharjo, Yogyakarta,1.725.000.000,4,125 m²,107 m²
Sleman, Sleman,1.750.000.000,4,100 m²,146 m²
Minggir, Sleman,425.000.000,2,60 m²,84 m²
Godean, Sleman,599.500.000,3,60 m²,318 m²
Purwo martani, Sleman,1.200.000.000,3,95 m²,120 m²
Sewon, Bantul,4.000.000.000,4,400 m²,1 m²
Depok, Sleman,475.000.000,2,55 m²,85 m²
Sewon, Bantul,2.500.000.000,6,250 m²,290 m²
Ngemplak, Sleman,450.000.000,2,40 m²,70 m²
Kalasan, Sleman,495.000.000,3,55 m²,100 m²
Kalasan, Sleman,500.000.000,2,70 m²,123 m²
Tegalrejo, Yogyakarta,5.000.000.000,4,300 m²,631 m²
Ngaglik, Sleman,1.400.000.000,3,240 m²,309 m²
Sleman, Sleman,1.200.000.000,4,132 m²,408 m²
Ngemplak, Sleman,550.000.000,3,58 m²,95 m²
Prambanan, Sleman,600.000.000,3,74 m²,95 m²
Umbulharjo, Yogyakarta,1.599.999.999,4,130 m²,105 m²
Wirobrajan, Yogyakarta,1.500.000.000,5,150 m²,239 m²
Depok, Sleman,2.100.000.000,5,240 m²,160 m²
Sedayu, Bantul,275.000.000,2,45 m²,76 m²
Sleman, Sleman,850.000.000,3,110 m²,185 m²
Mlati, Sleman,750.000.000,2,46 m²,83 m²
Ngaglik, Sleman,1.400.000.000,4,180 m²,108 m²
Kasihan, Bantul,2.300.000.000,3,160 m²,115 m²
Kasihan, Bantul,950.000.000,4,80 m²,118 m²
Banguntapan, Bantul,400.000.000,2,36 m²,60 m²
Kalasan, Sleman,925.000.000,3,105 m²,201 m²
Ngaglik, Sleman,875.000.000,3,100 m²,127 m²
Depok, Sleman,1.350.000.000,3,125 m²,100 m²
Prambanan, Sleman,685.000.000,3,80 m²,157 m²
Sleman, Sleman,699.000.000,3,60 m²,120 m²
Ngaglik, Sleman,685.000.000,3,68 m²,151 m²
Sleman,,700.000.000,3,90 m²,120 m²
Sleman,,615.000.000,3,85 m²,107 m²
Sleman,,1.300.000.000,4,130 m²,148 m²
Kasihan, Bantul,365.000.000,2,36 m²,106 m²
Depok, Sleman,5.450.000.000,5,600 m²,400 m²
Sewon, Bantul,1.250.000.000,3,180 m²,220 m²
Depok, Sleman,3.500.000.000,7,500 m²,350 m²
Sleman, Sleman,675.000.000,2,50 m²,150 m²
Ngaglik, Sleman,1.750.000.000,10,280 m²,120 m²
Ngaglik, Sleman,850.000.000,3,70 m²,138 m²
Gamping, Sleman,1.500.000.000,3,100 m²,197 m²
Depok, Sleman,3.900.000.000,5,250 m²,240 m²
Ngaglik, Sleman,2.500.000.000,3,350 m²,1 m²
Depok, Sleman,1.600.000.000,5,180 m²,164 m²
Caturtunggal, Sleman,1.400.000.000,3,110 m²,100 m²
Caturtunggal, Sleman,1.800.000.000,4,104 m²,117 m²
Sewon, Bantul,1.250.000.000,3,180 m²,220 m²
Mlati, Sleman,1.600.000.000,5,200 m²,114 m²
Purwo martani, Sleman,1.200.000.000,3,95 m²,120 m²
Godean, Sleman,599.500.000,3,60 m²,318 m²
Umbulharjo, Yogyakarta,14.848.000.000,4,400 m²,928 m²
Minggir, Sleman,425.000.000,2,60 m²,84 m²
Sleman, Sleman,1.280.000.000,4,200 m²,96 m²
Banguntapan, Bantul,485.000.000,2,41 m²,90 m²
Banguntapan, Bantul,375.000.000,2,36 m²,55 m²
Sleman,,1.200.000.000,4,160 m²,300 m²
Sedayu, Bantul,415.000.000,2,40 m²,75 m²
Tegalrejo, Yogyakarta,1.600.000.000,3,83 m²,176 m²
Bantul,,349.200.000,3,45 m²,94 m²
Bantul, Bantul,2.400.000.000,4,200 m²,198 m²
Sewon, Bantul,1.600.000.000,4,120 m²,167 m²
Kalasan, Sleman,455.000.000,2,45 m²,134 m²
Sewon, Bantul,850.000.000,3,110 m²,125 m²
Ngaglik, Sleman,1.200.000.000,3,100 m²,145 m²
Depok, Sleman,1.204.000.000,3,70 m²,100 m²
Ngaglik, Sleman,10.000.000.000,15,700 m²,1200 m²
Ngaglik, Sleman,6.500.000.000,4,350 m²,560 m²
Ngaglik, Sleman,1.250.000.000,3,80 m²,114 m²
Depok, Sleman,8.000.000.000,9,700 m²,1163 m²
Depok, Sleman,2.200.000.000,8,220 m²,150 m²
Depok, Sleman,2.900.000.000,7,400 m²,253 m²
Ngaglik, Sleman,2.650.000.000,4,160 m²,364 m²
Ngaglik, Sleman,750.000.000,3,60 m²,121 m²
Kalasan, Sleman,1.700.000.000,4,350 m²,764 m²
Mlati, Sleman,1.500.000.000,3,95 m²,125 m²
Sedayu, Bantul,800.000.000,3,120 m²,80 m²
Ngaglik, Sleman,400.234.000,2,36 m²,76 m²
Sewon, Bantul,4.500.000.000,12,600 m²,1900 m²
Kalasan, Sleman,1.700.000.000,4,350 m²,764 m²
Kasihan, Bantul,435.000.000,2,45 m²,87 m²
Sewon, Bantul,2.100.000.000,5,300 m²,566 m²
Sedayu, Bantul,800.000.000,3,120 m²,80 m²
Sewon, Bantul,5.000.000.000,12,500 m²,1839 m²
Ngaglik, Sleman,2.650.000.000,4,160 m²,364 m²
Ngaglik, Sleman,750.000.000,3,60 m²,121 m²
Godean, Sleman,958.000.000,3,90 m²,97 m²
Kasihan, Bantul,354.000.000,2,36 m²,73 m²
Kasihan, Bantul,325.000.000,2,36 m²,80 m²
Sedayu, Bantul,345.000.000,2,52 m²,80 m²
Sedayu, Bantul,270.000.000,2,36 m²,63 m²
Ngaglik, Sleman,4.000.000.000,22,550 m²,401 m²
Bantul,,535.000.000,2,55 m²,100 m²
Kasihan, Bantul,5.500.000.000,4,400 m²,360 m²
Kasihan, Bantul,575.000.000,3,65 m²,85 m²
Umbulharjo, Yogyakarta,1.800.000.000,5,185 m²,161 m²
Yogyakarta,,3.000.000.000,6,450 m²,248 m²
Yogyakarta,,695.000.000,3,90 m²,103 m²
Godean, Sleman,2.000.000.000,11,600 m²,360 m²
Depok, Sleman,1.300.000.000,3,130 m²,354 m²
Ngaglik, Sleman,650.000.000,3,60 m²,100 m²
Banguntapan, Bantul,975.000.000,3,140 m²,70 m²
Godean, Sleman,658.000.000,2,65 m²,120 m²
Pakem, Sleman,2.500.000.000,6,330 m²,165 m²
Umbulharjo, Yogyakarta,1.600.000.000,5,180 m²,90 m²
Sleman,,5.000.000.000,4,500 m²,2417 m²
Tegalrejo, Yogyakarta,2.650.000.000,8,225 m²,251 m²
Banguntapan, Bantul,625.000.000,3,75 m²,129 m²
Sedayu, Bantul,650.000.000,3,70 m²,100 m²
Sleman,,1.600.000.000,4,160 m²,375 m²
Ngaglik, Sleman,4.500.000.000,5,300 m²,360 m²
Mlati, Sleman,9.500.000.000,4,400 m²,1059 m²
Godean, Sleman,2.000.000.000,11,600 m²,360 m²
Sedayu, Bantul,750.000.000,2,130 m²,250 m²
Umbulharjo, Yogyakarta,1.800.000.000,5,185 m²,161 m²
Yogyakarta,,3.000.000.000,6,450 m²,248 m²
Ngaglik, Sleman,650.000.000,3,60 m²,100 m²
Sewon, Bantul,5.000.000.000,12,500 m²,1839 m²
Ngemplak, Sleman,850.000.000,4,100 m²,122 m²
Caturtunggal, Sleman,3.100.000.000,5,128 m²,134 m²
Ngemplak, Sleman,550.000.000,2,50 m²,90 m²
Mlati, Sleman,1.670.000.000,3,250 m²,418 m²
Kalasan, Sleman,490.000.000,2,62 m²,141 m²
Gamping, Sleman,985.000.000,3,95 m²,129 m²
Godean, Sleman,658.000.000,2,65 m²,120 m²
Banguntapan, Bantul,975.000.000,3,140 m²,70 m²
Godean, Sleman,495.000.000,2,50 m²,96 m²
Kalasan, Sleman,525.000.000,3,75 m²,101 m²
Ngaglik, Sleman,690.000.000,3,90 m²,100 m²
Umbulharjo, Yogyakarta,1.600.000.000,5,180 m²,90 m²
Pakem, Sleman,2.500.000.000,6,330 m²,165 m²
Sleman, Sleman,495.000.000,2,70 m²,90 m²
Sewon, Bantul,1.600.000.000,3,150 m²,960 m²
Sleman,,1.100.000.000,3,60 m²,147 m²
Maguwoharjo, Sleman,1.485.000.000,3,90 m²,110 m²
Umbulharjo, Yogyakarta,2.500.000.000,3,216 m²,350 m²
Yogyakarta,,950.000.000,3,120 m²,158 m²
Yogyakarta,,610.000.000,3,65 m²,111 m²
Banguntapan, Bantul,1.350.000.000,4,300 m²,240 m²
Condong Catur, Sleman,2.400.000.000,12,370 m²,192 m²
Gondokusuman, Yogyakarta,1.150.000.000,3,100 m²,118 m²
Kalasan, Sleman,8.500.000.000,8,614 m²,912 m²
Kalasan, Sleman,5.500.000.000,12,900 m²,1325 m²
Depok, Sleman,12.500.000.000,23,689 m²,740 m²
Jetis, Yogyakarta,1.700.000.000,1,90 m²,72 m²
Condong Catur, Sleman,1.250.000.000,2,112 m²,150 m²
Condong Catur, Sleman,1.375.000.000,4,140 m²,174 m²
Condong Catur, Sleman,1.200.000.000,3,95 m²,131 m²
Tegalrejo, Yogyakarta,1.200.000.000,4,118 m²,102 m²
Kalasan, Sleman,985.000.000,4,436 m²,436 m²
Kalasan, Sleman,3.500.000.000,4,361 m²,654 m²
Kalasan, Sleman,850.000.000,3,100 m²,188 m²
Kalasan, Sleman,425.000.000,2,55 m²,108 m²
Maguwoharjo, Sleman,985.000.000,3,100 m²,142 m²
Maguwoharjo, Sleman,1.750.000.000,3,145 m²,162 m²
Maguwoharjo, Sleman,490.000.000,2,55 m²,84 m²
Kalasan, Sleman,1.700.000.000,3,250 m²,330 m²
Kasihan, Bantul,1.900.000.000,4,169 m²,169 m²
Kasihan, Bantul,715.000.000,3,85 m²,147 m²
Kalasan, Sleman,1.300.000.000,3,120 m²,146 m²
Sleman,,5.000.000.000,4,500 m²,2417 m²
Tegalrejo, Yogyakarta,2.650.000.000,8,225 m²,251 m²
Kalasan, Sleman,2.200.000.000,3,107 m²,144 m²
Kalasan, Sleman,395.000.000,2,36 m²,98 m²
Ngaglik, Sleman,820.000.000,3,80 m²,105 m²
Tempel, Sleman,1.500.000.000,3,130 m²,387 m²
Ngemplak, Sleman,950.000.000,4,100 m²,149 m²
Umbulharjo, Yogyakarta,1.600.000.000,4,170 m²,104 m²
Umbulharjo, Yogyakarta,14.000.000.000,10,622 m²,915 m²
Tempel, Sleman,1.500.000.000,3,130 m²,387 m²
Yogyakarta,,3.500.000.000,4,200 m²,339 m²
Maguwoharjo, Sleman,6.500.000.000,4,444 m²,333 m²
Maguwoharjo, Sleman,985.000.000,3,100 m²,142 m²
Maguwoharjo, Sleman,1.750.000.000,3,145 m²,162 m²
Ngemplak, Sleman,950.000.000,4,100 m²,149 m²
Yogyakarta,,7.000.000.000,12,362 m²,365 m²
Danurejan, Yogyakarta,1.300.000.000,6,230 m²,130 m²
Kalasan, Sleman,395.000.000,2,98 m²,98 m²
Umbulharjo, Yogyakarta,1.000.000.000,17,350 m²,200 m²
Tegalrejo, Yogyakarta,1.750.000.000,4,100 m²,176 m²
Caturtunggal, Sleman,1.350.000.000,3,125 m²,100 m²
Gamping, Sleman,2.500.000.000,4,150 m²,150 m²
Jetis, Yogyakarta,1.700.000.000,3,140 m²,202 m²
Tempel, Sleman,1.500.000.000,4,375 m²,390 m²
Depok, Sleman,1.200.000.000,3,81 m²,154 m²
Ngaglik, Sleman,1.000.000.000,3,125 m²,106 m²
Ngaglik, Sleman,1.800.000.000,4,150 m²,177 m²
Depok, Sleman,750.000.000,3,100 m²,80 m²
Caturtunggal, Sleman,2.150.000.000,6,350 m²,173 m²
Depok, Sleman,725.000.000,3,75 m²,113 m²
Kasihan, Bantul,2.600.000.000,4,190 m²,296 m²
Ngaglik, Sleman,1.325.000.000,3,110 m²,130 m²
Ngaglik, Sleman,625.000.000,3,70 m²,100 m²
Mlati, Sleman,2.000.000.000,4,169 m²,230 m²
Sleman,,2.125.000.000,3,115 m²,195 m²
Mlati, Sleman,2.500.000.000,5,125 m²,197 m²
Banguntapan, Bantul,465.000.000,2,45 m²,90 m²
Gamping, Sleman,950.000.000,3,110 m²,150 m²
Depok, Sleman,920.000.000,3,141 m²,99 m²
Ngaglik, Sleman,4.300.000.000,6,600 m²,496 m²
Depok, Sleman,2.500.000.000,4,175 m²,121 m²
Gamping, Sleman,1.600.000.000,3,120 m²,210 m²
Ngaglik, Sleman,800.000.000,3,65 m²,101 m²
Ngaglik, Sleman,4.500.000.000,5,250 m²,202 m²
Ngaglik, Sleman,989.000.000,4,100 m²,122 m²
Gamping, Sleman,1.998.000.000,4,120 m²,126 m²
Sleman,,2.125.000.000,3,115 m²,195 m²
Banguntapan, Bantul,465.000.000,2,45 m²,90 m²
Banguntapan, Bantul,469.000.000,2,45 m²,91 m²
Maguwoharjo, Sleman,2.800.000.000,3,200 m²,204 m²
Mlati, Sleman,2.000.000.000,4,169 m²,230 m²
Mlati, Sleman,2.500.000.000,5,125 m²,197 m²
Pakualaman, Yogyakarta,6.517.000.000,3,150 m²,686 m²
Godean, Sleman,780.000.000,3,70 m²,121 m²
Condong Catur, Sleman,2.300.000.000,4,135 m²,249 m²
Pakem, Sleman,1.450.000.000,4,160 m²,195 m²
Pakem, Sleman,10.000.000.000,6,,1200 m²
Pakem, Sleman,1.750.000.000,4,211 m²,211 m²
Ngaglik, Sleman,1.350.000.000,4,170 m²,110 m²
Godean, Sleman,925.000.000,3,100 m²,188 m²
Kalasan, Sleman,1.600.000.000,5,310 m²,214 m²
Gamping, Sleman,670.000.000,2,54 m²,151 m²
Kalasan, Sleman,425.000.000,2,65 m²,100 m²
Gamping, Sleman,525.000.000,2,60 m²,1082 m²
Mantrijeron, Yogyakarta,1.000.000.000,3,165 m²,225 m²
Ngaglik, Sleman,4.500.000.000,5,350 m²,675 m²
Kalasan, Sleman,861.000.000,3,140 m²,276 m²
Depok, Sleman,1.650.000.000,3,140 m²,142 m²
Ngaglik, Sleman,1.900.000.000,4,150 m²,203 m²
Sleman,,1.200.000.000,3,131 m²,90 m²
Sleman,,340.000.000,2,36 m²,63 m²
Sewon, Bantul,350.000.000,2,40 m²,75 m²
Umbulharjo, Yogyakarta,1.350.000.000,3,140 m²,127 m²
Depok, Sleman,4.000.000.000,15,450 m²,630 m²
Wirobrajan, Yogyakarta,1.600.000.000,3,140 m²,130 m²
Wirobrajan, Yogyakarta,3.500.000.000,7,400 m²,650 m²
Ngemplak, Sleman,570.000.000,2,45 m²,104 m²
Ngaglik, Sleman,540.000.000,3,60 m²,88 m²
Ngaglik, Sleman,22.000.000.000,8,1000 m²,923 m²
Ngaglik, Sleman,2.000.000.000,4,150 m²,300 m²
Ngaglik, Sleman,1.300.000.000,4,170 m²,108 m²
Mlati, Sleman,1.150.000.000,3,85 m²,116 m²
Sleman,,695.000.000,3,95 m²,104 m²
Gamping, Sleman,1.035.000.000,2,120 m²,112 m²
Banguntapan, Bantul,450.000.000,2,36 m²,74 m²
Kasihan, Bantul,965.000.000,3,250 m²,165 m²
Sewon, Bantul,2.368.000.000,3,120 m²,121 m²
Ngemplak, Sleman,900.000.000,2,45 m²,120 m²
Ngemplak, Sleman,470.000.000,2,40 m²,70 m²
Sleman,,699.000.000,2,70 m²,137 m²
Kalasan, Sleman,2.300.000.000,6,479 m²,618 m²
Pakem, Sleman,599.000.000,3,50 m²,154 m²
Kalasan, Sleman,1.800.000.000,4,200 m²,500 m²
Wonosari, Gunung Kidul,750.000.000,2,80 m²,127 m²
Gamping, Sleman,1.600.000.000,14,343 m²,356 m²
Condong Catur, Sleman,3.500.000.000,5,400 m²,365 m²
Purwo martani, Sleman,1.450.000.000,4,112 m²,128 m²
Maguwoharjo, Sleman,464.000.000,2,40 m²,84 m²
Mergangsan, Yogyakarta,2.399.000.000,5,260 m²,198 m²
Maguwoharjo, Sleman,1.500.000.000,3,160 m²,140 m²
Umbulharjo, Yogyakarta,1.500.000.000,5,200 m²,131 m²
Umbulharjo, Yogyakarta,2.000.000.000,19,240 m²,226 m²
Berbah, Sleman,475.000.000,2,45 m²,80 m²
Depok, Sleman,5.000.000.000,32,680 m²,355 m²
Depok, Sleman,400.000.000,2,58 m²,116 m²
Bantul,,465.000.000,2,42 m²,90 m²
Ngaglik, Sleman,1.200.000.000,3,110 m²,131 m²
Sleman, Sleman,1.200.000.000,4,120 m²,169 m²
Banguntapan, Bantul,695.000.000,3,85 m²,113 m²
Gondokusuman, Yogyakarta,2.100.000.000,4,185 m²,197 m²
Sleman, Sleman,275.000.000,2,36 m²,128 m²
Depok, Sleman,8.600.000.000,5,600 m²,900 m²
Ngaglik, Sleman,850.000.000,3,70 m²,110 m²
Depok, Sleman,1.125.899.000,3,60 m²,132 m²
Depok, Sleman,1.500.000.000,4,150 m²,110 m²
Ngaglik, Sleman,3.500.000.000,5,400 m²,387 m²
Ngaglik, Sleman,1.000.000.000,3,120 m²,120 m²
Ngaglik, Sleman,8.900.000.000,5,330 m²,810 m²
Wonosari, Gunung Kidul,210.000.000,2,36 m²,60 m²
Sleman,,550.000.000,3,115 m²,106 m²
Ngaglik, Sleman,1.550.000.000,4,140 m²,140 m²
Ngaglik, Sleman,1.100.000.000,3,60 m²,147 m²
Bantul,,1.500.000.000,3,100 m²,146 m²
Gamping, Sleman,1.000.000.000,2,50 m²,128 m²
Sleman, Sleman,920.000.000,3,54 m²,92 m²
Caturtunggal, Sleman,3.900.000.000,5,251 m²,241 m²
Sleman,,1.000.000.000,3,81 m²,134 m²
Ngaglik, Sleman,1.100.000.000,3,60 m²,147 m²
Ngaglik, Sleman,1.550.000.000,4,140 m²,140 m²
Depok, Sleman,1.250.000.000,3,130 m²,134 m²
Sleman,,675.000.000,2,70 m²,113 m²
Sleman,,1.000.000.000,3,81 m²,134 m²
Gamping, Sleman,1.750.000.000,4,190 m²,170 m²
Ngaglik, Sleman,3.000.000.000,3,150 m²,1009 m²
Caturtunggal, Sleman,3.900.000.000,5,251 m²,241 m²
Sleman, Sleman,920.000.000,3,54 m²,92 m²
Gamping, Sleman,1.000.000.000,2,50 m²,128 m²
Kasihan, Bantul,375.000.000,2,50 m²,87 m²
Godean, Sleman,750.000.000,3,60 m²,108 m²
Condong Catur, Sleman,1.650.000.000,4,200 m²,123 m²
Kotagede, Yogyakarta,1.700.000.000,4,150 m²,285 m²
Kalasan, Sleman,437.000.000,2,45 m²,76 m²
Kasihan, Bantul,345.000.000,2,36 m²,84 m²
Pakualaman, Yogyakarta,8.000.000.000,3,400 m²,423 m²
Dlingo, Bantul,1.300.000.000,3,65 m²,63 m²
Umbulharjo, Yogyakarta,1.300.000.000,6,150 m²,115 m²
